Cell line name	Analysis Set Name	COSMIC ID	Sanger_ID	Matched status	GDSC description_1	GDSC description_2	Study Abbreviation	Comment	MMR	Analysis Set	Exome	SNP6	expression	methylation	IC50s	RNA-seq	Comment - genetics
HO-1-u-1	HO-1-u-1	753561	1710STDY5035542	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
HSC-2	HSC-2	753562	CGP_CCL5103686	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HSC-3	HSC-3	907061	1710STDY5035547	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
HSC-4	HSC-4	907062	CGP_CCL5306162	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
JHU-011	JHU-011	1240161	1710STDY5035535	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
JHU-022	JHU-022	1240162	1710STDY5035536	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
KON	KON	1298215	1710STDY5035540	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KOSC-2	KOSC-2	753570	1710STDY5035545	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
LB771-HNC	LB771-HNC	753583	1710STDY5035554	Matched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OSC-19	OSC-19	1298362	CGP_CCL5103722	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OSC-20	OSC-20	1240196	1710STDY5035529	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
PCI-15A	PCI-15A	1240204	1710STDY5035531	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
PCI-30	PCI-30	1298529	1710STDY5035556	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
PCI-38	PCI-38	1240205	1710STDY5035532	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
PCI-4B	PCI-4B	1298531	1710STDY5035559	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
PCI-6A	PCI-6A	1240206	1710STDY5035558	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
PE_CA-PJ15	PE/CA-PJ15	1240207	1710STDY5035530	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RPMI-2650	RPMI-2650	909700	1710STDY5035550	Unmatched	aero_dig_tract	head and neck	HNSC	nasal squamous cell carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SAS	SAS	909708	1710STDY5035528	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SAT	SAT	1299050	CGP_CCL5306224	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SCC-15	SCC-15	910911	1710STDY5035524	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SCC-25	SCC-25	910701	1710STDY5035539	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SCC-4	SCC-4	910904	1710STDY5035544	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SCC-9	SCC-9	909709	1710STDY5035526	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SKN-3	SKN-3	1299059	CGP_CCL5306152	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
COLO-680N	COLO-680N	906817	1710STDY5034847	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
EC-GI-10	EC-GI-10	753555	1710STDY5034846	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
ESO26	ESO26	1503366	CGP_CCL5228690	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes		
ESO51	ESO51	1503367	CGP_CCL5228718	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
FLO-1	FLO-1	1503361	CGP_CCL5228698	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
HCE-4	HCE-4	753559	1710STDY5034830	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KYAE-1	KYAE-1	1503368	CGP_CCL5228731	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KYSE-140	KYSE-140	753573	1710STDY5034833	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-150	KYSE-150	907317	1710STDY5034832	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
KYSE-180	KYSE-180	907318	1710STDY5034831	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
KYSE-220	KYSE-220	1240167	1710STDY5034827	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KYSE-270	KYSE-270	907319	1710STDY5034829	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-410	KYSE-410	753574	1710STDY5034824	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
KYSE-450	KYSE-450	907320	1710STDY5034845	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-50	KYSE-50	1298222	1710STDY5034821	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KYSE-510	KYSE-510	907321	1710STDY5034844	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
KYSE-520	KYSE-520	753575	1710STDY5034843	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KYSE-70	KYSE-70	753576	1710STDY5034826	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OACM5-1	OACM5-1	1503363	CGP_CCL5228684	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OACp4C	OACp4C	1503362	CGP_CCL5228713	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OE19	OE19	910079	1710STDY5034842	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OE21	OE21	1298359	1710STDY5034822	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OE33	OE33	910549	1710STDY5034828	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-GT-4	SK-GT-4	1503365	CGP_CCL5228706	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
TE-1	TE-1	753621	1710STDY5034840	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TE-10	TE-10	753622	1710STDY5034841	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TE-11	TE-11	946354	1710STDY5034825	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TE-12	TE-12	946356	1710STDY5034839	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
TE-15	TE-15	753614	1710STDY5034838	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TE-4	TE-4	1503371	CGP_CCL5103695	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TE-5	TE-5	735784	1710STDY5034837	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
TE-6	TE-6	946355	1710STDY5034836	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TE-8	TE-8	753623	1710STDY5034835	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TE-9	TE-9	946353	1710STDY5034834	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
T-T	T-T	1299064	CGP_CCL5306159	Unmatched	aero_dig_tract	oesophagus	ESCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
CESS	CESS	910688	1710STDY5034905	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
CMK	CMK	910566	1710STDY5034891	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	No	Yes	Yes	
CTV-1	CTV-1	753548	1710STDY5034892	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
GDM-1	GDM-1	906870	CGP_CCL5391656	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HEL	HEL	907053	1710STDY5034909	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HL-60	HL-60	905938	1710STDY5034929	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KASUMI-1	KASUMI-1	907275	1710STDY5034897	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KG-1	KG-1	907278	1710STDY5034855	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KMOE-2	KMOE-2	907280	1710STDY5034858	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KO52	KO52	1330932	1710STDY5034956	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-L	Yes	Yes	Yes	No	No	No		
ME-1	ME-1	1330942	CGP_CCL5306251	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
ML-2	ML-2	908141	1710STDY5034868	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
MOLM-13	MOLM-13	1330947	CGP_CCL5306219	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
MONO-MAC-6	MONO-MAC-6	908148	1710STDY5034871	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NB4	NB-4	1323913	CGP_CCL5391645	Unmatched	leukemia	acute_myeloid_leukaemia	LAML	#N/A	MSI-S	Yes	Yes	Yes	Yes	No	Yes	Yes	
NKM-1	NKM-1	908448	1710STDY5034938	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
NOMO-1	NOMO-1	908451	1710STDY5034939	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-AML2	OCI-AML2	910947	1710STDY5034856	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-AML3	OCI-AML3	1290455	1710STDY5034910	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-AML5	OCI-AML5	1330983	CGP_CCL5306153	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OCI-M1	OCI-M1	1330985	CGP_CCL5306180	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
P31-FUJ	P31-FUJ	909253	1710STDY5034874	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
PL-21	PL-21	1330991	CGP_CCL5306151	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
QIMR-WIL	QIMR-WIL	910545	1710STDY5034940	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SIG-M5	SIG-M5	909715	CGP_CCL5306287	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
THP-1	THP-1	909771	1710STDY5034883	Unmatched	leukemia	acute_myeloid_leukaemia	LAML		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KARPAS-299	KARPAS-299	907273	CGP_CCL5103846	Unmatched	lymphoma	anaplastic_large_cell_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-1	SU-DHL-1	909742	CGP_CCL5103781	Unmatched	lymphoma	anaplastic_large_cell_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SUP-M2	SUP-M2	1331040	CGP_CCL5306308	Unmatched	lymphoma	anaplastic_large_cell_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
BALL-1	BALL-1	910705	1710STDY5034889	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KARPAS-231	KARPAS-231	1327774	CGP_CCL5306220	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KOPN-8	KOPN-8	1330933	CGP_CCL5306222	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MHH-CALL-2	MHH-CALL-2	908132	CGP_CCL5369285	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MHH-CALL-4	MHH-CALL-4	908133	CGP_CCL5369295	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	No	Yes	Poor Growth - Might possibly be improved if re-ordered
MHH-PREB-1	MHH-PREB-1	908136	1710STDY5034867	Unmatched	leukemia	B_cell_leukemia			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
MN-60	MN-60	908143	1710STDY5034933	Unmatched	leukemia	B_cell_leukemia			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
NALM-6	NALM-6	908158	CGP_CCL5103824	Unmatched	leukemia	B_cell_leukemia			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RCH-ACV	RCH-ACV	1330994	CGP_CCL5391647	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
REH	REH	909696	1710STDY5034876	Unmatched	leukemia	B_cell_leukemia			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
ROS-50	ROS-50	1331025	CGP_CCL5306259	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SUP-B8	SUP-B8	910209	1710STDY5034901	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
U-698-M	U-698-M	909777	1710STDY5034885	Unmatched	leukemia	B_cell_leukemia			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
A3-KAW	A3-KAW	910935	CGP_CCL5103735	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
A4-Fuk	A4-Fuk	910934	1710STDY5035143	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BC-1	BC-1	910919	1710STDY5034913	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
BC-3	BC-3	910918	1710STDY5034959	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	No	Yes	Yes		
CRO-AP2	CRO-AP2	906807	1710STDY5034950	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
CTB-1	CTB-1	949088	1710STDY5034896	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
DB	DB	906832	CGP_CCL5103693	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
DOHH-2	DOHH-2	906842	1710STDY5034924	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
Farage	Farage	1297449	CGP_CCL5306272	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes		
GRANTA-519	GRANTA-519	1303897	CGP_CCL5306250	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HT	HT	907063	CGP_CCL5369334	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-H	Yes	Yes	Yes	No	Yes	Yes	Yes	
JEKO-1	JEKO-1	1327765	CGP_CCL5228676	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
JM1	JM1	1327768	CGP_CCL5306229	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	No	Yes	Yes	
JSC-1	JSC-1	1327769	CGP_CCL5306213	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KARPAS-1106P	KARPAS-1106P	1327773	CGP_CCL5391663	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KARPAS-422	KARPAS-422	907274	1710STDY5034887	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MC116	MC116	907799	1710STDY5034866	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NU-DUL-1	NU-DUL-1	1330982	CGP_CCL5306202	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OCI-LY-19	OCI-LY-19	1330984	CGP_CCL5306179	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RC-K8	RC-K8	1330995	CGP_CCL5306157	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
RL	RL	910861	CGP_CCL5103797	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
Sci-1	SC-1	1331030	CGP_CCL5369301	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Same cell line as Sci-1 which is already in the collection - All expression and methylation data for Sci-1 needs to be renamed to SC-1
SCC-3	SCC-3	910930	CGP_CCL5103687	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SLVL	SLVL	1331032	CGP_CCL5306149	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SU-DHL-10	SU-DHL-10	1331033	CGP_CCL5306181	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-16	SU-DHL-16	1331034	CGP_CCL5306184	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes		
SU-DHL-4	SU-DHL-4	1331035	CGP_CCL5306183	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-5	SU-DHL-5	1331036	CGP_CCL5306306	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-6	SU-DHL-6	1331037	CGP_CCL5306284	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SU-DHL-8	SU-DHL-8	1331038	CGP_CCL5306189	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TK	TK	1331045	CGP_CCL5306249	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
TUR	TUR	909773	1710STDY5034884	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
VAL	VAL	1331048	CGP_CCL5228739	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
WSU-DLCL2	WSU-DLCL2	1331050	CGP_CCL5306170	Unmatched	lymphoma	B_cell_lymphoma	DLBC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BL-41	BL-41	910706	CGP_CCL5369293	Unmatched	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
CA46	CA46	910703	1710STDY5034904	Unmatched	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
Daudi	Daudi	906831	1710STDY5034960	Unmatched	lymphoma	Burkitt_lymphoma			MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
DG-75	DG-75	906838	1710STDY5034894	Unmatched	lymphoma	Burkitt_lymphoma			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
EB2	EB2	906846	1710STDY5034906	Unmatched	lymphoma	Burkitt_lymphoma			MSI-L	Yes	Yes	Yes	Yes	Yes	Yes		
EB-3	EB-3	906847	1710STDY5034907	Unmatched	lymphoma	Burkitt_lymphoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
