Model	ModelDescription	CVError	PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
Model 1205	BRAF  & ¬NF1 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.27474	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1206	¬d19p12  & BRAF 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.3585	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1207	¬KRAS  & BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.41757	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1208	BRAF  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.38101	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1209	BRAF  & ¬NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.41757	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12010	BRAF  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.3585	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12011	BRAF  & ¬IL-1-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.3585	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12012	BRAF  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.40805	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 12013	BRAF  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.43677	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0 /NaN 
Model 12014	BRAF  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.41757	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 1211	BRAF  & ¬NF1 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.13864	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1212	BRAF  & ¬NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.069542	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1213	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.48831	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1214	¬d(FANCG,PAX5)  & BRAF 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.2728	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1215	¬d19p12  & BRAF 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.2728	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1216	¬PTEN  & BRAF 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.17499	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1217	¬KRAS  & BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.3674	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1218	BRAF  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.35216	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 1219	BRAF  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.2728	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12110	BRAF  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.30885	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12111	BRAF  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.3674	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 12112	BRAF  & ¬NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.3674	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1221	BRAF  & ¬NF1 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.19029	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1222	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.44623	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1223	¬PTEN  & BRAF 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.28828	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1224	¬d(FANCG,PAX5)  & BRAF 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1225	¬d19p12  & BRAF 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.29515	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1226	¬KRAS  & BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.36909	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1227	BRAF  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.32333	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1228	BRAF  & ¬NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.39314	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1229	BRAF  & ¬NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36909	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12210	BRAF  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.29515	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12211	BRAF  & ¬IL-1-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.29515	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12212	BRAF  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.39314	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0 /NaN 
Model 12213	BRAF  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36909	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 1231	BRAF  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.36305	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1232	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.34652	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1233	¬d(FANCG,PAX5)  & BRAF 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.037838	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1234	¬PTEN  & BRAF 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.43116	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1235	¬d19p12  & BRAF 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.33556	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1236	BRAF  & ¬NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.24845	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1237	¬KRAS  & BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.4077	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1238	BRAF  & ¬NF1 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.33556	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1239	¬CREBBP  & BRAF 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.4077	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12310	BRAF  & ¬NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.4077	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12311	BRAF  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.4077	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12312	BRAF  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.33556	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12313	BRAF  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.39608	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 12314	BRAF  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.43116	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0 /NaN 
Model 12315	BRAF  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.4077	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 1241	BRAF  & ¬NF1 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.32215	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1242	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.27414	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1243	¬PTEN  & BRAF 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.41399	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1244	¬KRAS  & BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.48974	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1245	BRAF  & ¬NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.33674	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1246	¬d(FANCG,PAX5)  & BRAF 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.13441	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1247	¬d19p12  & BRAF 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.42043	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1248	BRAF  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.47857	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 1249	BRAF  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.42043	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12410	BRAF  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.51227	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0 /NaN 
Model 12411	BRAF  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.48974	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 1251	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.38209	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1252	¬PTEN  & BRAF 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.4048	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1253	BRAF  & ¬NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.33212	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1254	¬d(FANCG,PAX5)  & BRAF 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.16682	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1255	BRAF  & ¬NF1 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.34345	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1256	BRAF  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.4357	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1257	BRAF  & ¬NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.43591	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1258	BRAF  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.46556	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 1259	BRAF  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.49726	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0 /NaN 
Model 1301	¬d(FANCG,PAX5)  & ¬NF1  & ¬NRAS 	 0.56925	0/NaN	0/NaN	-1/0.24376	0/NaN	0/NaN	0/NaN	-1/0.083762	-1/0.094018	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1302	¬PTEN  & ¬d(FANCG,PAX5)  & ¬NRAS 	NA	-1/0.083762	0/NaN	-1/0.26646	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.14959	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1311	¬NF1  & ¬NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.17051	-1/0.23961	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.00030226	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1321	¬d(FANCG,PAX5)  & ¬NF1  & ¬H2O2-UP 	NA	0/NaN	0/NaN	-1/0.30516	0/NaN	0/NaN	0/NaN	-1/0.10486	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.00023624	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1331	¬d(FANCG,PAX5)  & ¬NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	-1/0.32544	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.11483	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.00023048	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1341	¬d(FANCG,PAX5)  & ¬NF1  & ¬NRAS 	NA	0/NaN	0/NaN	-1/0.28602	0/NaN	0/NaN	0/NaN	-1/0.098283	-1/0.11032	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1342	¬PTEN  & ¬d(FANCG,PAX5)  & ¬NRAS 	NA	-1/0.098283	0/NaN	-1/0.31265	0/NaN	0/NaN	0/NaN	0/NaN	-1/0.17553	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1351	BRAF  & ¬NF1 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.34345	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1352	BRAF  & ¬NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.33191	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1353	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.38209	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1354	BRAF  & ¬NF1  & ¬NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.23966	-1/0	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1355	BRAF  & ¬NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.33212	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
