Model	ModelDescription	CVError	PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
Model 1216	¬NF1  & TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.23152	0/NaN	0/NaN	0 /NaN 
Model 1217	¬d19p12  & TGFB-UP 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.32965	0/NaN	0/NaN	0 /NaN 
Model 1218	¬d(FANCG,PAX5)  & TGFB-UP 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.2	0/NaN	0/NaN	0 /NaN 
Model 1219	¬BRAF  & TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.4278	0/NaN	0/NaN	0 /NaN 
Model 12110	¬IL-1-UP  & TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.28071	0/NaN	0/NaN	0 /NaN 
Model 12111	¬CDKN2A  & TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.3649	0/NaN	0/NaN	0 /NaN 
Model 12112	¬EP300  & TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.54646	0/NaN	0/NaN	0 /NaN 
Model 12113	¬PIK3CA  & TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.42308	0/NaN	0/NaN	0 /NaN 
Model 12114	¬d13q14.2  & TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.32965	0/NaN	0/NaN	0 /NaN 
Model 12115	¬H2O2-UP  & TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.37252	0/NaN	0/NaN	0 /NaN 
Model 12116	TGFB-UP  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.4816	-1/0	0/NaN	0 /NaN 
Model 12117	TGFB-UP  & ¬Wnt-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.3649	0/NaN	0/NaN	-1 /0 
Model 1221	NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.25999	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1222	¬d19p12  & NF2 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.16273	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1223	¬PTEN  & NF2 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.20897	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1224	¬NRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.22582	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1225	¬d(FANCG,PAX5)  & NF2 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.05132	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1226	NF2  & ¬PIK3CA 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.24301	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1227	¬NF1  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.078403	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1228	NF2  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.19957	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1229	NF2  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.16273	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12210	NF2  & ¬IL-1-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.16273	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12211	NF2  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.44599	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 12212	NF2  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.2933	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0 /NaN 
Model 1231	NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.25259	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1232	¬PTEN  & NF2 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.066317	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1233	¬NF1  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.027482	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1234	¬d(FANCG,PAX5)  & NF2 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.00117	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1235	NF2  & ¬SMARCA4 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.2024	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1236	NF2  & ¬PIK3CA 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.09939	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1237	NF2  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.05718	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1238	¬NRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.14825	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1239	NF2  & ¬IL-1-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.068555	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12310	NF2  & ¬CDKN2A 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.050817	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12311	NF2  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.29659	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 12312	NF2  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.14825	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0 /NaN 
Model 12313	NF2  & ¬Wnt-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.050817	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1 /0 
Model 1241	NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.29976	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1242	NF2  & ¬SMARCA4 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.47302	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1243	¬d19p12  & NF2 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.25821	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1244	¬PTEN  & NF2 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.40875	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1245	NF2  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.25821	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1246	¬d(FANCG,PAX5)  & NF2 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.12976	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1247	¬NF1  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.25821	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1248	¬NRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.33095	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1249	NF2  & ¬CDKN2A 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.29313	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12410	NF2  & ¬PIK3CA 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.35078	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12411	NF2  & ¬IL-1-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.20973	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12412	NF2  & ¬PI3K_only-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.40875	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0 /NaN 
Model 12413	NF2  & ¬Wnt-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.29313	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1 /0 
Model 1251	NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.25086	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1252	¬NRAS  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.10686	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1253	¬NF1  & NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.0031875	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1254	¬d(FANCG,PAX5)  & NF2 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.084557	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1255	¬d19p12  & NF2 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.084557	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1256	NF2  & ¬SMARCA4 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.26432	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1257	¬PTEN  & NF2 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.090606	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1258	NF2  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.1201	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1259	NF2  & ¬CDKN2A 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.11378	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12510	NF2  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.084557	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12511	NF2  & ¬IL-1-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.043979	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12512	NF2  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.35787	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 12513	NF2  & ¬Wnt-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.11378	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1 /0 
Model 1301	¬d(FANCG,PAX5)  & ¬NF1  & NF2 	 0.64932	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1302	¬NRAS  & NF2  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.14916	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1303	¬d(FANCG,PAX5)  & NF2 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.048391	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1304	NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.217	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
