		PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.048391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1207	NF2  & ¬Wnt-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16666	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0 
																					 
Model 1208	NF2  & ¬d13q14.2 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.14138	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1209	NF2  & ¬SMARCA4 	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29689	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12010	NF2  & ¬H2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.17213	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12011	NF2  & ¬CDKN2A 	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16666	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12012	NF2  & ¬PIK3CA 	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.20839	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12013	NF2  & ¬IL-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.10628	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 12014	NF2  & ¬TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.37781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN 
																					 
Model 12015	NF2  & ¬PI3K_only-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 1211	¬PTEN  & TGFB-UP 	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.38346	NaN	NaN	NaN 
																					 
Model 1212	TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2242	NaN	NaN	NaN 
																					 
Model 1213	¬NRAS  & TGFB-UP 	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40306	NaN	NaN	NaN 
																					 
Model 1214	¬SMARCA4  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.54646	NaN	NaN	NaN 
																					 
Model 1215	¬CREBBP  & TGFB-UP 	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.54646	NaN	NaN	NaN 
																					 
Model 1216	¬NF1  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.23152	NaN	NaN	NaN 
																					 
Model 1217	¬d19p12  & TGFB-UP 	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.32965	NaN	NaN	NaN 
																					 
Model 1218	¬d(FANCG,PAX5)  & TGFB-UP 	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2	NaN	NaN	NaN 
																					 
Model 1219	¬BRAF  & TGFB-UP 	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4278	NaN	NaN	NaN 
																					 
Model 12110	¬IL-1-UP  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.28071	NaN	NaN	NaN 
																					 
Model 12111	¬CDKN2A  & TGFB-UP 	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.3649	NaN	NaN	NaN 
																					 
Model 12112	¬EP300  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.54646	NaN	NaN	NaN 
																					 
Model 12113	¬PIK3CA  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	0.42308	NaN	NaN	NaN 
																					 
Model 12114	¬d13q14.2  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0.32965	NaN	NaN	NaN 
																					 
Model 12115	¬H2O2-UP  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.37252	NaN	NaN	NaN 
																					 
Model 12116	TGFB-UP  & ¬PI3K_only-DOWN 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4816	0	NaN	NaN 
																					 
Model 12117	TGFB-UP  & ¬Wnt-DOWN 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3649	NaN	NaN	0 
																					 
Model 1221	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1222	¬d19p12  & NF2 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.16273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1223	¬PTEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.20897	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1224	¬NRAS  & NF2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.22582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1225	¬d(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.05132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1226	NF2  & ¬PIK3CA 	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.24301	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1227	¬NF1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.078403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1228	NF2  & ¬H2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.19957	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1229	NF2  & ¬d13q14.2 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16273	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12210	NF2  & ¬IL-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.16273	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 12211	NF2  & ¬TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.44599	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN 
																					 
Model 12212	NF2  & ¬PI3K_only-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2933	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 1231	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1232	¬PTEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.066317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1233	¬NF1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.027482	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1234	¬d(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.00117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1235	NF2  & ¬SMARCA4 	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2024	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1236	NF2  & ¬PIK3CA 	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.09939	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1237	NF2  & ¬H2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.05718	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1238	¬NRAS  & NF2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.14825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1239	NF2  & ¬IL-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.068555	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 12310	NF2  & ¬CDKN2A 	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.050817	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12311	NF2  & ¬TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN 
																					 
Model 12312	NF2  & ¬PI3K_only-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.14825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 12313	NF2  & ¬Wnt-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.050817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0 
																					 
Model 1241	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1242	NF2  & ¬SMARCA4 	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.47302	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1243	¬d19p12  & NF2 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.25821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1244	¬PTEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1245	NF2  & ¬d13q14.2 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25821	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1246	¬d(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.12976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1247	¬NF1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.25821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1248	¬NRAS  & NF2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.33095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1249	NF2  & ¬CDKN2A 	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29313	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12410	NF2  & ¬PIK3CA 	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.35078	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12411	NF2  & ¬IL-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.20973	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 12412	NF2  & ¬PI3K_only-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 12413	NF2  & ¬Wnt-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29313	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0 
																					 
Model 1251	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1252	¬NRAS  & NF2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.10686	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1253	¬NF1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.0031875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1254	¬d(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.084557	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1255	¬d19p12  & NF2 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.084557	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1256	NF2  & ¬SMARCA4 	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.26432	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1257	¬PTEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.090606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1258	NF2  & ¬H2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1201	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1259	NF2  & ¬CDKN2A 	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11378	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 12510	NF2  & ¬d13q14.2 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.084557	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
